online_order,book_table,votes,location,rest_type,cuisines,Cost2plates,Type,Is_Success
Yes,No,231,Sarjapur Road,Delivery,others,500.0,Delivery,1
Yes,No,7,Bellandur,Quick Bites,others,300.0,Delivery,0
Yes,Yes,1142,HSR,Casual Dining,others,1800.0,Delivery,1
Yes,No,16,Sarjapur Road,Quick Bites,"North Indian, Chinese, Biryani",500.0,Delivery,0
Yes,No,112,Bellandur,Quick Bites,others,700.0,Delivery,1
Yes,No,715,HSR,Casual Dining,others,1000.0,Delivery,1
Yes,No,237,Indiranagar,Delivery,others,500.0,Delivery,0
Yes,No,45,Marathahalli,Quick Bites,North Indian,250.0,Delivery,1
Yes,No,48,Bellandur,Quick Bites,"South Indian, North Indian, Chinese",300.0,Delivery,1
Yes,No,111,Bellandur,Quick Bites,others,400.0,Delivery,0
Yes,No,396,HSR,Casual Dining,others,850.0,Delivery,1
Yes,No,20,Sarjapur Road,Quick Bites,"Biryani, North Indian",300.0,Delivery,0
Yes,No,160,Sarjapur Road,Casual Dining,Kerala,500.0,Delivery,0
Yes,No,9,Sarjapur Road,Quick Bites,others,400.0,Delivery,0
Yes,No,18,Sarjapur Road,Kiosk,others,300.0,Delivery,0
Yes,No,555,Bellandur,Casual Dining,others,1800.0,Delivery,1
Yes,No,0,Bellandur,Quick Bites,others,350.0,Delivery,1
Yes,Yes,42,Sarjapur Road,Quick Bites,others,500.0,Delivery,1
Yes,No,16,Sarjapur Road,Delivery,North Indian,500.0,Delivery,0
Yes,No,262,Sarjapur Road,Casual Dining,Kerala,450.0,Delivery,0
Yes,Yes,1056,HSR,"Casual Dining, Bar",others,1200.0,Delivery,1
Yes,No,112,HSR,Quick Bites,others,600.0,Delivery,1
Yes,Yes,797,HSR,Cafe,others,700.0,Delivery,1
Yes,No,41,Sarjapur Road,Dessert Parlor,"Ice Cream, Desserts",450.0,Delivery,1
Yes,No,0,Marathahalli,Quick Bites,others,300.0,Delivery,1
Yes,No,7,Sarjapur Road,Delivery,others,500.0,Delivery,0
Yes,No,10,Bellandur,Quick Bites,North Indian,800.0,Delivery,0
Yes,No,6,Marathahalli,Delivery,Beverages,300.0,Delivery,0
Yes,No,29,Sarjapur Road,Beverage Shop,"Beverages, Fast Food",400.0,Delivery,0
Yes,No,24,Marathahalli,Bakery,"Bakery, Desserts",400.0,Delivery,0
Yes,No,438,HSR,Casual Dining,Chinese,1000.0,Delivery,0
Yes,No,30,Sarjapur Road,Quick Bites,others,300.0,Delivery,1
Yes,No,0,Sarjapur Road,Quick Bites,Fast Food,100.0,Delivery,1
Yes,No,32,Marathahalli,Casual Dining,others,450.0,Delivery,0
Yes,No,210,HSR,Quick Bites,others,200.0,Delivery,1
Yes,No,17,Sarjapur Road,Delivery,others,600.0,Delivery,0
Yes,No,44,Sarjapur Road,Cafe,others,600.0,Delivery,0
Yes,No,33,HSR,"Takeaway, Delivery",others,400.0,Delivery,0
Yes,No,0,Bellandur,Delivery,others,550.0,Delivery,1
Yes,No,20,Sarjapur Road,Delivery,North Indian,350.0,Delivery,0
Yes,Yes,1691,Bellandur,"Casual Dining, Bar",North Indian,1100.0,Delivery,1
Yes,No,556,Sarjapur Road,"Dessert Parlor, Cafe",others,500.0,Delivery,1
Yes,Yes,481,Sarjapur Road,Casual Dining,others,900.0,Delivery,1
Yes,No,4,Marathahalli,Quick Bites,others,300.0,Delivery,0
Yes,No,0,Bellandur,"Takeaway, Delivery",others,200.0,Delivery,1
Yes,No,0,HSR,Quick Bites,others,500.0,Delivery,1
Yes,No,34,Marathahalli,Quick Bites,North Indian,150.0,Delivery,1
Yes,No,163,Bellandur,others,others,250.0,Delivery,0
Yes,No,0,Bellandur,Delivery,others,200.0,Delivery,1
Yes,Yes,715,Sarjapur Road,Casual Dining,others,1500.0,Delivery,1
Yes,No,65,HSR,Sweet Shop,"Mithai, Street Food",200.0,Delivery,1
Yes,No,166,Bellandur,Quick Bites,"North Indian, Chinese",450.0,Delivery,1
Yes,Yes,547,HSR,Casual Dining,others,1000.0,Delivery,1
Yes,No,139,Marathahalli,Casual Dining,"North Indian, South Indian, Chinese",450.0,Delivery,0
Yes,No,5,Sarjapur Road,Quick Bites,others,250.0,Delivery,0
Yes,No,11,Bellandur,Casual Dining,others,400.0,Delivery,0
Yes,No,76,Marathahalli,Quick Bites,"North Indian, Chinese, Biryani",400.0,Delivery,0
Yes,No,787,HSR,Casual Dining,others,1000.0,Delivery,1
Yes,No,55,HSR,Quick Bites,others,500.0,Delivery,1
Yes,No,0,Sarjapur Road,"Takeaway, Delivery","North Indian, Chinese, Biryani",300.0,Delivery,1
Yes,No,250,Bellandur,Quick Bites,North Indian,250.0,Delivery,1
Yes,No,24,Bellandur,"Beverage Shop, Quick Bites",others,250.0,Delivery,0
Yes,No,16,Marathahalli,Quick Bites,"Chinese, North Indian",300.0,Delivery,0
Yes,No,204,Sarjapur Road,Casual Dining,others,500.0,Delivery,0
Yes,No,55,Sarjapur Road,Delivery,South Indian,600.0,Delivery,0
Yes,No,361,HSR,Casual Dining,others,450.0,Delivery,0
Yes,No,30,Bellandur,Quick Bites,"Beverages, Fast Food",250.0,Delivery,0
Yes,No,18,others,Delivery,Biryani,400.0,Delivery,0
Yes,No,38,Marathahalli,Dessert Parlor,"Desserts, Ice Cream",150.0,Delivery,1
Yes,No,6,Sarjapur Road,Quick Bites,others,300.0,Delivery,0
Yes,No,0,Sarjapur Road,Quick Bites,Fast Food,300.0,Delivery,1
Yes,Yes,661,Marathahalli,Casual Dining,others,750.0,Delivery,1
Yes,No,268,Bellandur,Casual Dining,others,800.0,Delivery,1
Yes,No,17,Bellandur,Quick Bites,"North Indian, Chinese",400.0,Delivery,0
Yes,No,200,HSR,Delivery,others,750.0,Delivery,1
Yes,No,4,Bellandur,Quick Bites,North Indian,300.0,Delivery,0
Yes,No,228,HSR,Dessert Parlor,"Desserts, Ice Cream",500.0,Delivery,1
Yes,No,6,Bellandur,others,"Desserts, Bakery",300.0,Delivery,0
Yes,No,5,Bellandur,Beverage Shop,others,200.0,Delivery,0
Yes,No,9,Sarjapur Road,Dessert Parlor,Desserts,300.0,Delivery,0
Yes,Yes,889,Sarjapur Road,Casual Dining,others,1400.0,Delivery,1
Yes,No,43,Sarjapur Road,Delivery,others,500.0,Delivery,0
Yes,No,74,Bellandur,"Cafe, Dessert Parlor",others,600.0,Delivery,1
Yes,No,35,Bellandur,Casual Dining,"North Indian, Chinese",400.0,Delivery,0
Yes,No,155,Sarjapur Road,Casual Dining,others,600.0,Delivery,0
Yes,No,44,Sarjapur Road,Quick Bites,others,300.0,Delivery,1
Yes,No,9,Bellandur,Quick Bites,others,200.0,Delivery,0
Yes,No,258,Bellandur,Quick Bites,others,500.0,Delivery,0
Yes,No,133,Bellandur,Quick Bites,Fast Food,200.0,Delivery,1
Yes,No,95,Bellandur,Casual Dining,others,500.0,Delivery,0
Yes,No,31,Bellandur,Quick Bites,others,350.0,Delivery,0
Yes,No,48,Bellandur,Quick Bites,North Indian,400.0,Delivery,0
Yes,No,97,Sarjapur Road,Quick Bites,others,250.0,Delivery,0
Yes,No,44,Bellandur,Dessert Parlor,"Desserts, Beverages",900.0,Delivery,0
Yes,Yes,341,Bellandur,Cafe,others,1000.0,Delivery,1
Yes,No,84,Bellandur,Quick Bites,Street Food,200.0,Delivery,0
Yes,No,16,Sarjapur Road,Bakery,"Bakery, Desserts",400.0,Delivery,0
Yes,No,109,Sarjapur Road,Casual Dining,others,700.0,Delivery,0
Yes,No,0,Bellandur,"Beverage Shop, Quick Bites",others,250.0,Delivery,1
Yes,No,162,HSR,Quick Bites,others,500.0,Delivery,1
Yes,Yes,1146,Marathahalli,"Pub, Casual Dining",others,1200.0,Delivery,1
Yes,No,34,Sarjapur Road,Delivery,"Bakery, Desserts",500.0,Delivery,1
Yes,No,536,others,Delivery,"Desserts, Bakery",600.0,Delivery,1
Yes,No,39,Marathahalli,Quick Bites,others,200.0,Delivery,1
No,No,213,Bellandur,Casual Dining,"Chinese, North Indian",400.0,Delivery,1
Yes,No,62,Sarjapur Road,Quick Bites,North Indian,300.0,Delivery,0
Yes,Yes,1383,HSR,"Casual Dining, Bar",others,1100.0,Delivery,1
Yes,No,42,HSR,Quick Bites,others,200.0,Delivery,1
Yes,No,0,Marathahalli,Delivery,Biryani,250.0,Delivery,1
Yes,No,89,Bellandur,Quick Bites,others,350.0,Delivery,0
Yes,No,29,Marathahalli,Delivery,others,500.0,Delivery,0
Yes,No,182,Bellandur,Quick Bites,others,400.0,Delivery,0
Yes,No,129,HSR,Dessert Parlor,"Desserts, Beverages",350.0,Delivery,1
No,No,246,Bellandur,Casual Dining,North Indian,1200.0,Delivery,1
Yes,No,34,Bellandur,Delivery,"North Indian, Chinese",450.0,Delivery,0
Yes,No,0,Bellandur,Casual Dining,others,700.0,Delivery,1
Yes,No,0,Sarjapur Road,Dessert Parlor,Ice Cream,150.0,Delivery,1
Yes,No,44,Sarjapur Road,Quick Bites,others,600.0,Delivery,0
Yes,No,376,Bellandur,Delivery,North Indian,600.0,Delivery,1
Yes,No,27,Bellandur,Quick Bites,South Indian,300.0,Delivery,0
Yes,No,25,Sarjapur Road,Quick Bites,others,150.0,Delivery,0
Yes,Yes,392,Bellandur,Bar,"Biryani, North Indian",1500.0,Delivery,1
Yes,No,11,Bellandur,Casual Dining,others,600.0,Delivery,0
Yes,No,40,Sarjapur Road,Quick Bites,South Indian,350.0,Delivery,0
Yes,No,33,Sarjapur Road,Cafe,others,200.0,Delivery,1
Yes,No,32,Bellandur,Casual Dining,others,550.0,Delivery,0
Yes,No,0,Sarjapur Road,Quick Bites,others,200.0,Delivery,1
Yes,Yes,340,Marathahalli,Casual Dining,others,1700.0,Delivery,1
Yes,No,9,Marathahalli,Quick Bites,"North Indian, Chinese",450.0,Delivery,0
Yes,No,27,Sarjapur Road,Cafe,"Cafe, Fast Food",900.0,Delivery,0
Yes,No,8,Sarjapur Road,Quick Bites,others,500.0,Delivery,0
Yes,No,18,Bellandur,Quick Bites,others,400.0,Delivery,0
Yes,No,54,Marathahalli,Quick Bites,others,400.0,Delivery,1
Yes,No,26,Marathahalli,Quick Bites,"North Indian, Chinese",250.0,Delivery,0
Yes,No,127,Bellandur,Quick Bites,North Indian,400.0,Delivery,0
Yes,No,136,Bellandur,"Bakery, Quick Bites",others,600.0,Delivery,0
Yes,No,11,Bellandur,others,"Desserts, Bakery",300.0,Delivery,0
Yes,No,31,Marathahalli,Casual Dining,"South Indian, North Indian",700.0,Delivery,0
Yes,Yes,322,Sarjapur Road,"Casual Dining, Pub",others,1200.0,Delivery,1
Yes,No,248,Sarjapur Road,Casual Dining,others,800.0,Delivery,1
Yes,Yes,2182,Bellandur,"Bar, Casual Dining",others,1400.0,Delivery,1
Yes,No,137,others,Takeaway,others,650.0,Delivery,0
Yes,No,324,HSR,Dessert Parlor,"Ice Cream, Desserts",180.0,Delivery,1
Yes,No,119,HSR,"Beverage Shop, Quick Bites","Beverages, Fast Food",400.0,Delivery,1
Yes,No,1972,Marathahalli,Casual Dining,others,650.0,Delivery,1
Yes,No,19,Sarjapur Road,Quick Bites,North Indian,250.0,Delivery,0
Yes,No,57,Bellandur,Dessert Parlor,"Ice Cream, Desserts",300.0,Delivery,1
Yes,No,243,Sarjapur Road,Quick Bites,others,300.0,Delivery,0
Yes,No,48,Bellandur,Kiosk,others,400.0,Delivery,0
Yes,No,19,Marathahalli,Casual Dining,others,600.0,Delivery,0
Yes,Yes,7193,Sarjapur Road,others,others,1400.0,Delivery,1
Yes,No,11,HSR,Quick Bites,North Indian,300.0,Delivery,0
Yes,No,0,Sarjapur Road,Sweet Shop,others,150.0,Delivery,1
Yes,No,50,Bellandur,Casual Dining,North Indian,500.0,Delivery,0
Yes,No,0,Marathahalli,Delivery,others,300.0,Delivery,1
Yes,No,39,Sarjapur Road,Quick Bites,others,200.0,Delivery,0
Yes,No,72,Bellandur,Kiosk,"Ice Cream, Desserts",300.0,Delivery,1
Yes,No,182,Bellandur,Casual Dining,others,800.0,Delivery,0
Yes,No,22,Sarjapur Road,Bakery,"Desserts, Bakery",400.0,Delivery,0
Yes,No,222,Sarjapur Road,Casual Dining,others,800.0,Delivery,1
Yes,No,116,Marathahalli,"Takeaway, Delivery",others,150.0,Delivery,1
Yes,No,793,Bellandur,"Casual Dining, Pub",others,1700.0,Delivery,1
Yes,No,289,Bellandur,Casual Dining,others,500.0,Delivery,0
Yes,No,0,Bellandur,Dessert Parlor,"Ice Cream, Desserts",300.0,Delivery,1
Yes,No,337,HSR,Quick Bites,"North Indian, Chinese",500.0,Delivery,1
Yes,Yes,3020,Bellandur,Casual Dining,others,1000.0,Delivery,1
Yes,No,9,Sarjapur Road,Beverage Shop,others,200.0,Delivery,0
Yes,No,56,Bellandur,Quick Bites,"North Indian, Chinese",600.0,Delivery,0
Yes,No,0,Bellandur,Quick Bites,North Indian,200.0,Delivery,1
Yes,No,0,Marathahalli,Delivery,Biryani,500.0,Delivery,1
Yes,No,0,Bellandur,Casual Dining,others,500.0,Delivery,1
No,No,0,Bellandur,Delivery,"North Indian, South Indian, Chinese",200.0,Delivery,1
Yes,No,0,Marathahalli,Food Court,others,100.0,Delivery,1
Yes,No,81,Sarjapur Road,Bakery,"Bakery, Desserts",300.0,Delivery,1
Yes,No,136,Sarjapur Road,Cafe,Cafe,500.0,Delivery,1
Yes,No,27,Sarjapur Road,Bakery,Bakery,400.0,Delivery,0
Yes,No,20,Marathahalli,"Takeaway, Delivery",others,250.0,Delivery,0
Yes,No,9,Marathahalli,Casual Dining,others,650.0,Delivery,0
Yes,No,13,Marathahalli,Casual Dining,others,700.0,Delivery,0
Yes,No,8,Marathahalli,Bakery,"Bakery, Desserts",200.0,Delivery,0
Yes,No,37,Bellandur,Delivery,others,400.0,Delivery,1
Yes,No,0,HSR,Casual Dining,others,750.0,Delivery,1
Yes,Yes,387,HSR,"Cafe, Casual Dining",others,1300.0,Delivery,1
Yes,No,0,Sarjapur Road,Casual Dining,"South Indian, North Indian",400.0,Delivery,1
Yes,Yes,942,Sarjapur Road,Pub,others,1300.0,Delivery,1
Yes,No,132,Marathahalli,Casual Dining,North Indian,750.0,Delivery,0
Yes,No,4,HSR,"Takeaway, Delivery",others,400.0,Delivery,0
Yes,No,13,Bellandur,Quick Bites,others,150.0,Delivery,0
Yes,No,0,Sarjapur Road,Quick Bites,others,300.0,Delivery,1
Yes,No,0,Sarjapur Road,Dessert Parlor,Ice Cream,200.0,Delivery,1
No,No,368,Bellandur,Casual Dining,others,600.0,Delivery,1
Yes,No,30,Bellandur,Quick Bites,others,300.0,Delivery,1
Yes,No,13,Bellandur,Quick Bites,"North Indian, Chinese, Biryani",500.0,Delivery,0
Yes,No,0,HSR,Quick Bites,"North Indian, Chinese",500.0,Delivery,1
Yes,No,12,Bellandur,Quick Bites,"North Indian, South Indian",300.0,Delivery,0
Yes,No,0,Bellandur,"Takeaway, Delivery",others,500.0,Delivery,1
Yes,No,0,Marathahalli,Casual Dining,others,800.0,Delivery,1
Yes,No,13,HSR,Quick Bites,South Indian,250.0,Delivery,0
Yes,No,16,Sarjapur Road,Casual Dining,others,600.0,Delivery,0
Yes,No,48,Bellandur,Dessert Parlor,"Ice Cream, Desserts",250.0,Delivery,0
Yes,No,31,Bellandur,"Casual Dining, Bar",others,500.0,Delivery,0
Yes,No,39,Sarjapur Road,Quick Bites,others,500.0,Delivery,0
Yes,No,8,Sarjapur Road,Quick Bites,others,400.0,Delivery,0
Yes,No,29,Sarjapur Road,Quick Bites,others,450.0,Delivery,0
No,No,83,Bellandur,Dessert Parlor,"Ice Cream, Desserts",200.0,Delivery,1
Yes,No,0,HSR,Quick Bites,others,300.0,Delivery,1
Yes,No,47,Marathahalli,Quick Bites,"North Indian, Chinese",400.0,Delivery,0
Yes,No,20,Sarjapur Road,others,others,250.0,Delivery,0
Yes,No,0,Bellandur,others,others,600.0,Delivery,1
Yes,No,24,Sarjapur Road,Bakery,"Bakery, Desserts",500.0,Delivery,0
Yes,No,35,Sarjapur Road,others,others,200.0,Delivery,0
Yes,No,42,Bellandur,Casual Dining,North Indian,400.0,Delivery,0
Yes,No,4,Bellandur,Casual Dining,others,900.0,Delivery,0
Yes,No,174,HSR,Quick Bites,others,400.0,Delivery,1
Yes,No,269,Sarjapur Road,Bakery,others,750.0,Delivery,1
Yes,Yes,0,Banashankari,Casual Dining,others,500.0,Delivery,1
Yes,No,46,Sarjapur Road,Casual Dining,others,600.0,Delivery,1
Yes,No,9,Sarjapur Road,Quick Bites,"North Indian, Biryani",300.0,Delivery,0
Yes,No,0,Sarjapur Road,"Bar, Casual Dining",others,700.0,Delivery,1
No,No,20,Bellandur,Bakery,"Bakery, Desserts",500.0,Delivery,0
Yes,No,91,Marathahalli,Casual Dining,others,750.0,Delivery,1
Yes,No,60,HSR,Quick Bites,others,400.0,Delivery,1
Yes,No,135,Sarjapur Road,Quick Bites,others,400.0,Delivery,0
Yes,No,9,Bellandur,Casual Dining,others,550.0,Delivery,0
Yes,No,24,Marathahalli,Quick Bites,"Chinese, North Indian",200.0,Delivery,1
Yes,No,31,Sarjapur Road,Casual Dining,"Chinese, North Indian",600.0,Delivery,0
Yes,No,11,Sarjapur Road,Quick Bites,"North Indian, Chinese",300.0,Delivery,0
Yes,No,484,HSR,"Cafe, Casual Dining",others,700.0,Delivery,0
Yes,No,894,Sarjapur Road,Cafe,others,600.0,Delivery,1
Yes,No,15,Sarjapur Road,Bakery,"Bakery, Desserts",500.0,Delivery,0
Yes,No,0,Bellandur,Quick Bites,others,200.0,Delivery,1
Yes,No,600,HSR,Casual Dining,others,800.0,Delivery,1
Yes,No,14,Bellandur,Quick Bites,others,250.0,Delivery,0
Yes,No,30,Bellandur,Quick Bites,others,250.0,Delivery,0
Yes,Yes,37,Bellandur,Casual Dining,others,1500.0,Delivery,0
Yes,No,106,Bellandur,Casual Dining,"North Indian, Chinese",500.0,Delivery,0
Yes,No,7,Bellandur,Quick Bites,others,600.0,Delivery,0
Yes,No,25,Bellandur,Food Court,Ice Cream,300.0,Delivery,0
No,No,0,Bellandur,Delivery,"Desserts, Bakery",200.0,Delivery,1
No,No,0,Bellandur,"Takeaway, Delivery",South Indian,400.0,Delivery,1
Yes,No,6,Bellandur,Quick Bites,others,500.0,Delivery,0
Yes,No,20,Sarjapur Road,"Takeaway, Delivery",North Indian,200.0,Delivery,0
Yes,No,43,Sarjapur Road,Delivery,others,450.0,Delivery,0
No,No,39,Bellandur,Food Court,others,330.0,Delivery,0
Yes,No,61,Sarjapur Road,Quick Bites,"North Indian, Fast Food",250.0,Delivery,0
Yes,No,65,Sarjapur Road,Bakery,"Bakery, Desserts",400.0,Delivery,0
Yes,No,0,Bellandur,Casual Dining,"North Indian, Chinese, Biryani",600.0,Delivery,1
Yes,No,117,Sarjapur Road,Casual Dining,"North Indian, Chinese",550.0,Delivery,0
No,No,128,Bellandur,"Bakery, Quick Bites",others,600.0,Delivery,0
No,No,0,Bellandur,Quick Bites,others,400.0,Delivery,1
No,No,9,Bellandur,Beverage Shop,others,300.0,Delivery,0
Yes,No,35,HSR,"Quick Bites, Beverage Shop","Beverages, Fast Food",300.0,Delivery,0
Yes,No,26,Marathahalli,Quick Bites,others,350.0,Delivery,0
Yes,No,1240,HSR,"Casual Dining, Bar",others,1400.0,Delivery,1
Yes,No,0,Sarjapur Road,Delivery,others,300.0,Delivery,1
Yes,No,149,Sarjapur Road,Cafe,others,800.0,Delivery,1
No,No,0,Bellandur,Quick Bites,"South Indian, North Indian",300.0,Delivery,1
Yes,No,4,Sarjapur Road,Quick Bites,others,150.0,Delivery,0
Yes,No,0,Sarjapur Road,Quick Bites,"North Indian, Chinese",250.0,Delivery,1
No,No,336,Bellandur,Casual Dining,others,600.0,Delivery,0
Yes,No,16,Whitefield,Quick Bites,North Indian,300.0,Delivery,0
No,No,23,Bellandur,"Dessert Parlor, Quick Bites",others,200.0,Delivery,0
Yes,No,0,Marathahalli,Food Court,"Fast Food, Beverages",300.0,Delivery,1
No,No,6,Bellandur,Mess,"South Indian, North Indian",300.0,Delivery,0
Yes,No,0,Sarjapur Road,"Quick Bites, Beverage Shop",others,150.0,Delivery,1
No,No,0,Bellandur,"Takeaway, Delivery",others,750.0,Delivery,1
No,No,32,Bellandur,Quick Bites,Street Food,100.0,Delivery,0
No,No,131,Bellandur,Casual Dining,others,800.0,Delivery,0
Yes,No,9,Sarjapur Road,Delivery,others,200.0,Delivery,0
Yes,No,66,Bellandur,Casual Dining,others,550.0,Delivery,0
Yes,No,7,Bellandur,Quick Bites,others,150.0,Delivery,0
Yes,No,106,Sarjapur Road,Takeaway,South Indian,200.0,Delivery,1
No,No,43,Bellandur,Quick Bites,"Biryani, North Indian",500.0,Delivery,0
No,No,95,Bellandur,Casual Dining,others,700.0,Delivery,0
No,No,28,Bellandur,Casual Dining,others,700.0,Delivery,0
Yes,No,94,Marathahalli,Cafe,others,700.0,Delivery,0
Yes,No,10,Sarjapur Road,Quick Bites,"North Indian, Chinese",300.0,Delivery,0
Yes,No,20,Sarjapur Road,Dessert Parlor,Desserts,300.0,Delivery,1
Yes,No,19,Bellandur,Cafe,others,500.0,Delivery,0
Yes,No,0,Bellandur,Quick Bites,others,300.0,Delivery,1
Yes,No,76,Bellandur,"Takeaway, Delivery",others,300.0,Delivery,0
Yes,No,35,Koramangala 1st Block,Delivery,North Indian,400.0,Delivery,0
Yes,No,0,Marathahalli,Quick Bites,others,400.0,Delivery,1
Yes,No,14,Marathahalli,Quick Bites,others,200.0,Delivery,0
No,No,27,Bellandur,"Takeaway, Delivery","North Indian, South Indian",300.0,Delivery,0
Yes,No,138,HSR,Dessert Parlor,"Desserts, Ice Cream",500.0,Delivery,1
Yes,No,500,Koramangala 1st Block,Delivery,"North Indian, South Indian, Chinese",500.0,Delivery,0
No,No,12,Bellandur,Casual Dining,others,700.0,Delivery,0
No,No,0,Bellandur,Quick Bites,others,400.0,Delivery,1
No,No,0,Bellandur,Quick Bites,others,400.0,Delivery,1
No,No,0,Bellandur,others,"Desserts, Bakery",400.0,Delivery,1
Yes,No,21,Marathahalli,Quick Bites,North Indian,350.0,Delivery,0
Yes,No,356,Bellandur,Delivery,"North Indian, Chinese",500.0,Delivery,0
No,No,0,Bellandur,Quick Bites,"North Indian, Chinese, Biryani",500.0,Delivery,1
No,No,23,Bellandur,"Food Court, Quick Bites",others,400.0,Delivery,0
Yes,No,31,Sarjapur Road,Bakery,"Bakery, Desserts",400.0,Delivery,0
No,No,0,Bellandur,Quick Bites,"North Indian, Chinese",500.0,Delivery,1
No,No,0,Bellandur,"Takeaway, Delivery","Bakery, Desserts",500.0,Delivery,1
No,No,0,Bellandur,Delivery,others,400.0,Delivery,1
No,No,0,Bellandur,"Takeaway, Delivery",Chinese,400.0,Delivery,1
No,No,0,Bellandur,"Takeaway, Delivery",others,350.0,Delivery,1
No,No,6,Bellandur,Food Court,"South Indian, Biryani",300.0,Delivery,0
No,No,7,Bellandur,Quick Bites,South Indian,200.0,Delivery,0
No,No,337,Bellandur,Casual Dining,North Indian,450.0,Delivery,0
No,No,52,Bellandur,"Takeaway, Delivery",others,600.0,Delivery,0
No,No,0,Bellandur,Delivery,"North Indian, Biryani",500.0,Delivery,1
No,No,0,Bellandur,Delivery,North Indian,400.0,Delivery,1
No,No,0,Bellandur,"Food Court, Quick Bites",Fast Food,300.0,Delivery,1
No,No,0,Bellandur,Delivery,Biryani,400.0,Delivery,1
No,No,0,Bellandur,Delivery,others,600.0,Delivery,1
No,No,0,Bellandur,"Takeaway, Delivery","Chinese, North Indian",700.0,Delivery,1
No,No,0,Bellandur,"Bakery, Quick Bites","Bakery, Desserts",400.0,Delivery,1
No,No,0,Bellandur,Quick Bites,"South Indian, Biryani",200.0,Delivery,1
No,No,0,Bellandur,Delivery,Biryani,400.0,Delivery,1
No,No,0,Bellandur,Dessert Parlor,Ice Cream,100.0,Delivery,1
No,No,0,Bellandur,Quick Bites,North Indian,200.0,Delivery,1
No,No,0,Bellandur,Quick Bites,North Indian,200.0,Delivery,1
Yes,No,36,Sarjapur Road,Delivery,North Indian,400.0,Delivery,1
Yes,No,500,Sarjapur Road,Cafe,others,800.0,Delivery,1
No,No,25,Bellandur,Quick Bites,South Indian,200.0,Delivery,0
No,No,0,Bellandur,Quick Bites,others,300.0,Delivery,1
No,No,7,Bellandur,"Takeaway, Delivery",North Indian,300.0,Delivery,0
No,No,6,Bellandur,"Food Court, Quick Bites",others,500.0,Delivery,0
No,No,6,Bellandur,Quick Bites,North Indian,500.0,Delivery,0
No,No,21,Bellandur,Quick Bites,Fast Food,150.0,Delivery,0
No,No,7,Bellandur,Mess,"South Indian, Chinese",350.0,Delivery,0
No,No,5,Bellandur,Delivery,"North Indian, Chinese, Biryani",600.0,Delivery,0
No,No,0,Bellandur,Quick Bites,others,250.0,Delivery,1
No,No,0,Bellandur,"Takeaway, Delivery",North Indian,400.0,Delivery,1
No,No,0,Bellandur,"Takeaway, Delivery",Chinese,200.0,Delivery,1
No,No,21,Bellandur,"Takeaway, Delivery",others,350.0,Delivery,1
No,No,78,Bellandur,Quick Bites,others,400.0,Delivery,0
No,No,0,Bellandur,Quick Bites,"North Indian, Chinese",400.0,Delivery,1
No,No,0,Bellandur,Delivery,North Indian,300.0,Delivery,1
No,No,10,Bellandur,Casual Dining,others,600.0,Delivery,0
No,No,5,Bellandur,Delivery,"Biryani, North Indian",700.0,Delivery,0
Yes,No,435,Koramangala 1st Block,Delivery,others,500.0,Delivery,0
No,No,7,Bellandur,Quick Bites,Fast Food,200.0,Delivery,0
No,No,0,Bellandur,"Takeaway, Delivery","Bakery, Desserts",850.0,Delivery,1
No,No,4,Bellandur,"Takeaway, Delivery",others,500.0,Delivery,0
No,No,0,Bellandur,Casual Dining,others,600.0,Delivery,1
No,No,9,Bellandur,Quick Bites,"North Indian, Chinese",300.0,Delivery,0
No,No,155,Bellandur,Casual Dining,"North Indian, Biryani",800.0,Delivery,0
No,No,13,Bellandur,Casual Dining,"North Indian, Chinese",400.0,Delivery,0
No,No,116,Bellandur,Food Court,others,400.0,Delivery,0
No,No,26,Bellandur,Quick Bites,North Indian,400.0,Delivery,0
No,No,31,Bellandur,Bakery,"Bakery, Desserts",200.0,Delivery,0
No,No,0,Bellandur,Quick Bites,"South Indian, North Indian",300.0,Delivery,1
No,No,0,Bellandur,"Quick Bites, Beverage Shop",others,700.0,Delivery,1
No,No,5,Bellandur,Quick Bites,others,400.0,Delivery,0
No,No,0,Bellandur,Quick Bites,others,400.0,Delivery,1
No,No,0,Bellandur,Quick Bites,"Fast Food, Beverages",400.0,Delivery,1
No,No,19,Bellandur,Bakery,Bakery,400.0,Delivery,0
No,No,0,Bellandur,Quick Bites,others,100.0,Delivery,1
No,No,0,Bellandur,Quick Bites,Biryani,400.0,Delivery,1
No,No,0,Bellandur,Quick Bites,Biryani,400.0,Delivery,1
No,No,0,Bellandur,"Takeaway, Delivery",North Indian,400.0,Delivery,1
No,No,0,Bellandur,Mess,South Indian,200.0,Delivery,1
No,No,0,Bellandur,Delivery,"Biryani, North Indian",400.0,Delivery,1
No,No,0,Bellandur,Quick Bites,Fast Food,300.0,Delivery,1
No,No,6,Bellandur,"Food Court, Quick Bites","North Indian, South Indian, Chinese",400.0,Delivery,0
No,No,59,Bellandur,Casual Dining,others,550.0,Delivery,0
No,No,0,Bellandur,Delivery,North Indian,150.0,Delivery,1
No,No,114,Bellandur,Cafe,others,550.0,Delivery,1
No,No,0,Bellandur,Delivery,others,400.0,Delivery,1
No,No,0,Bellandur,Food Court,others,450.0,Delivery,1
No,No,63,Bellandur,Delivery,others,150.0,Delivery,1
