online_order,book_table,votes,location,rest_type,cuisines,Cost2plates,Type,Is_Success
No,No,21,Banashankari,Quick Bites,Biryani,250.0,Delivery,0
No,No,0,Banashankari,Delivery,"Bakery, Desserts",500.0,Delivery,1
No,No,0,Banashankari,"Takeaway, Delivery",South Indian,400.0,Delivery,1
No,No,0,Banashankari,Mess,South Indian,200.0,Delivery,1
No,No,9,Banashankari,Dessert Parlor,Ice Cream,300.0,Delivery,0
No,No,283,Banashankari,Casual Dining,North Indian,600.0,Delivery,0
No,No,62,Banashankari,Bar,"South Indian, North Indian, Chinese",800.0,Delivery,0
No,No,64,Banashankari,Quick Bites,others,250.0,Delivery,1
No,No,39,Banashankari,Casual Dining,others,950.0,Delivery,0
No,No,65,Banashankari,Quick Bites,others,300.0,Delivery,0
Yes,No,71,Basavanagudi,Dessert Parlor,others,400.0,Delivery,1
No,No,52,Banashankari,Quick Bites,South Indian,300.0,Delivery,0
No,No,130,Banashankari,Quick Bites,South Indian,200.0,Delivery,0
No,No,10,Banashankari,Quick Bites,"South Indian, Biryani",300.0,Delivery,0
No,No,45,Banashankari,"Takeaway, Delivery",Bakery,400.0,Delivery,1
No,No,11,Banashankari,Cafe,others,600.0,Delivery,0
No,No,13,Banashankari,Bakery,"Bakery, Desserts",300.0,Delivery,0
No,No,8,Banashankari,Quick Bites,others,300.0,Delivery,0
No,No,0,Banashankari,"Takeaway, Delivery",Beverages,250.0,Delivery,1
No,No,9,Banashankari,Quick Bites,Biryani,300.0,Delivery,0
No,No,4,Banashankari,Quick Bites,North Indian,300.0,Delivery,0
No,No,0,Banashankari,"Takeaway, Delivery",others,200.0,Delivery,1
No,No,29,Banashankari,Quick Bites,North Indian,150.0,Delivery,0
No,No,8,Banashankari,Bakery,"Bakery, Desserts",400.0,Delivery,0
No,No,0,Banashankari,Dessert Parlor,others,150.0,Delivery,1
No,No,0,Banashankari,Bakery,Bakery,300.0,Delivery,1
No,No,0,Banashankari,Quick Bites,others,200.0,Delivery,1
No,No,0,Banashankari,"Takeaway, Delivery",South Indian,150.0,Delivery,1
No,No,0,Banashankari,Dessert Parlor,others,150.0,Delivery,1
No,No,0,Banashankari,Quick Bites,others,250.0,Delivery,1
No,No,30,Banashankari,Bar,"Chinese, North Indian",1000.0,Delivery,0
Yes,No,201,Banashankari,Quick Bites,others,300.0,Delivery,1
No,No,7,Banashankari,Quick Bites,others,200.0,Delivery,0
No,No,6,Banashankari,Quick Bites,others,100.0,Delivery,0
No,No,17,Banashankari,Quick Bites,others,200.0,Delivery,0
No,No,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200.0,Delivery,0
No,No,0,Banashankari,Delivery,others,400.0,Delivery,1
No,No,0,Banashankari,Quick Bites,others,350.0,Delivery,1
No,No,8,Banashankari,Delivery,South Indian,100.0,Delivery,0
No,No,0,Banashankari,Quick Bites,others,150.0,Delivery,1
No,No,0,Banashankari,Quick Bites,South Indian,150.0,Delivery,1
No,No,0,Banashankari,"Takeaway, Delivery",others,200.0,Delivery,1
No,No,0,Banashankari,Quick Bites,North Indian,100.0,Delivery,1
No,No,0,Banashankari,Quick Bites,others,400.0,Delivery,1
No,No,0,Banashankari,Beverage Shop,others,200.0,Delivery,1
No,No,0,Banashankari,"Beverage Shop, Quick Bites",others,150.0,Delivery,1
No,No,0,Banashankari,"Takeaway, Delivery",South Indian,400.0,Delivery,1
No,No,0,Banashankari,Quick Bites,"South Indian, Chinese",150.0,Delivery,1
No,No,0,Banashankari,Quick Bites,others,250.0,Delivery,1
No,No,0,Banashankari,Quick Bites,Biryani,250.0,Delivery,1
No,No,0,Banashankari,Quick Bites,"South Indian, Biryani",150.0,Delivery,1
No,No,0,Banashankari,others,Desserts,200.0,Delivery,1
No,No,0,Banashankari,"Quick Bites, Beverage Shop",others,350.0,Delivery,1
No,No,0,Banashankari,Quick Bites,"South Indian, Biryani",300.0,Delivery,1
No,No,0,Banashankari,"Takeaway, Delivery",others,100.0,Delivery,1
No,No,0,Banashankari,Quick Bites,others,150.0,Delivery,1
Yes,No,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450.0,Delivery,1
No,No,98,Banashankari,Bar,"North Indian, Chinese",800.0,Delivery,0
Yes,No,47,Basavanagudi,Quick Bites,South Indian,200.0,Delivery,1
Yes,Yes,175,Jayanagar,Casual Dining,others,500.0,Delivery,1
Yes,No,58,Banashankari,Quick Bites,others,300.0,Delivery,1
Yes,No,540,Basavanagudi,Casual Dining,others,650.0,Delivery,1
Yes,No,124,others,Quick Bites,others,400.0,Delivery,1
Yes,No,340,Banashankari,"Takeaway, Delivery",others,500.0,Delivery,1
Yes,No,505,Banashankari,Quick Bites,others,450.0,Delivery,1
No,No,0,Banashankari,Quick Bites,Fast Food,100.0,Delivery,1
Yes,No,438,Jayanagar,Dessert Parlor,others,500.0,Delivery,1
Yes,No,264,others,Casual Dining,others,750.0,Delivery,0
Yes,No,169,others,Beverage Shop,others,150.0,Delivery,1
Yes,No,67,others,Quick Bites,"North Indian, Chinese",250.0,Delivery,0
Yes,No,97,Jayanagar,Quick Bites,others,350.0,Delivery,0
Yes,No,12,Basavanagudi,"Takeaway, Delivery",Biryani,300.0,Delivery,0
Yes,No,12,Banashankari,Quick Bites,Biryani,300.0,Delivery,0
Yes,No,195,Jayanagar,Casual Dining,others,800.0,Delivery,0
Yes,No,13,Basavanagudi,others,others,300.0,Delivery,0
Yes,No,228,Jayanagar,Cafe,others,400.0,Delivery,1
Yes,No,70,Basavanagudi,Quick Bites,"South Indian, Chinese",150.0,Delivery,1
Yes,Yes,364,Jayanagar,Casual Dining,others,1200.0,Delivery,1
Yes,No,107,Basavanagudi,Beverage Shop,others,150.0,Delivery,0
Yes,No,167,others,Quick Bites,others,300.0,Delivery,0
Yes,No,115,Banashankari,Sweet Shop,"Mithai, Street Food",400.0,Delivery,1
Yes,No,27,Banashankari,"Takeaway, Delivery",others,400.0,Delivery,0
Yes,No,57,Banashankari,Quick Bites,Biryani,200.0,Delivery,0
Yes,No,120,Banashankari,Quick Bites,others,250.0,Delivery,1
Yes,No,15,Basavanagudi,Bakery,Bakery,400.0,Delivery,1
Yes,No,64,Basavanagudi,Quick Bites,others,500.0,Delivery,1
Yes,No,66,Banashankari,Quick Bites,South Indian,150.0,Delivery,0
Yes,No,290,Banashankari,Quick Bites,others,450.0,Delivery,0
Yes,No,233,Basavanagudi,Quick Bites,Street Food,200.0,Delivery,1
Yes,No,115,others,Quick Bites,others,250.0,Delivery,1
Yes,No,119,Banashankari,Casual Dining,others,700.0,Delivery,0
Yes,Yes,291,Jayanagar,Cafe,others,650.0,Delivery,1
Yes,No,155,Jayanagar,Beverage Shop,others,300.0,Delivery,1
Yes,No,305,others,Casual Dining,others,700.0,Delivery,1
Yes,No,46,Banashankari,Quick Bites,others,500.0,Delivery,0
Yes,No,45,others,Quick Bites,others,350.0,Delivery,0
Yes,No,38,Banashankari,Dessert Parlor,Ice Cream,150.0,Delivery,1
Yes,No,441,Banashankari,Quick Bites,others,400.0,Delivery,1
Yes,No,25,Basavanagudi,Quick Bites,South Indian,100.0,Delivery,1
Yes,No,630,Jayanagar,Quick Bites,others,200.0,Delivery,1
Yes,No,25,others,Quick Bites,South Indian,150.0,Delivery,1
Yes,No,160,others,Quick Bites,others,300.0,Delivery,1
Yes,No,287,Banashankari,Quick Bites,North Indian,350.0,Delivery,1
Yes,No,11,Basavanagudi,Quick Bites,South Indian,100.0,Delivery,0
Yes,No,402,Banashankari,Cafe,Cafe,500.0,Delivery,1
Yes,No,469,Basavanagudi,Casual Dining,others,750.0,Delivery,1
Yes,No,511,others,Casual Dining,others,550.0,Delivery,0
Yes,No,57,Banashankari,Quick Bites,others,200.0,Delivery,1
Yes,No,14,Banashankari,Quick Bites,South Indian,300.0,Delivery,0
Yes,No,264,Banashankari,Quick Bites,South Indian,200.0,Delivery,1
Yes,No,62,Banashankari,Cafe,others,400.0,Delivery,0
Yes,No,693,Banashankari,Casual Dining,others,750.0,Delivery,1
Yes,No,242,Jayanagar,Casual Dining,others,650.0,Delivery,1
Yes,No,27,Basavanagudi,Dessert Parlor,Fast Food,250.0,Delivery,0
Yes,No,163,Basavanagudi,Quick Bites,others,500.0,Delivery,1
Yes,No,191,Basavanagudi,Quick Bites,others,250.0,Delivery,1
